any,geo,municipis,nivell de formació assolit,sexe,concepte,estat,valor,Codes,Names,valor en %
2020,250019,Abella de la Conca,educació superior,total,població de 25 a 64 anys,,50,34092525001,Abella de la Conca,47.61904761904761
2020,080018,Abrera,educació superior,total,població de 25 a 64 anys,,2635,34090808001,Abrera,37.34939759036144
2020,250024,Àger,educació superior,total,població de 25 a 64 anys,,140,34092525002,Àger,43.75
2020,250030,Agramunt,educació superior,total,població de 25 a 64 anys,,845,34092525003,Agramunt,28.93835616438356
2020,080023,Aguilar de Segarra,educació superior,total,població de 25 a 64 anys,,75,34090808002,Aguilar de Segarra,48.38709677419355
2020,170010,Agullana,educació superior,total,població de 25 a 64 anys,,160,34091717001,Agullana,33.33333333333333
2020,080142,Aiguafreda,educació superior,total,població de 25 a 64 anys,,590,34090808014,Aiguafreda,42.29390681003584
2020,430017,Aiguamúrcia,educació superior,total,població de 25 a 64 anys,,180,34094343001,Aiguamúrcia,35.294117647058826
2020,170025,Aiguaviva,educació superior,total,població de 25 a 64 anys,,210,34091717002,Aiguaviva,50.602409638554214
2020,250387,Aitona,educació superior,total,població de 25 a 64 anys,,275,34092525038,Aitona,20.59925093632959
2020,250045,"Alamús, els",educació superior,total,població de 25 a 64 anys,,160,34092525004,Els Alamús,35.55555555555556
2020,250058,Alàs i Cerc,educació superior,total,població de 25 a 64 anys,,65,34092525005,Alàs i Cerc,43.333333333333336
2020,250061,"Albagés, l'",educació superior,total,població de 25 a 64 anys,,60,34092525006,L'Albagés,32.432432432432435
2020,170031,Albanyà,educació superior,total,població de 25 a 64 anys,,30,34091717003,Albanyà,33.33333333333333
2020,250077,Albatàrrec,educació superior,total,població de 25 a 64 anys,,400,34092525007,Albatàrrec,29.520295202952028
2020,250083,Albesa,educació superior,total,població de 25 a 64 anys,,240,34092525008,Albesa,28.74251497005988
2020,250096,"Albi, l'",educació superior,total,població de 25 a 64 anys,,115,34092525009,L'Albi,32.3943661971831
2020,430022,Albinyana,educació superior,total,població de 25 a 64 anys,,345,34094343002,Albinyana,25.0
2020,430038,"Albiol, l'",educació superior,total,població de 25 a 64 anys,,140,34094343003,L'Albiol,50.0
2020,170046,Albons,educació superior,total,població de 25 a 64 anys,,185,34091717004,Albons,41.57303370786517
2020,430043,Alcanar,educació superior,total,població de 25 a 64 anys,,1655,34094343004,Alcanar,31.138287864534338
2020,250100,Alcanó,educació superior,total,població de 25 a 64 anys,,60,34092525010,Alcanó,48.0
